mouse_id,deep_frac_12h,gray_frac_12h,deep_overlap_ratio,prob_sep,deep_minutes,gray_minutes
N1,0.0,0.0,0.0,0.00046255270916807444,0.0,186.0
N10,0.0,0.6153846153846154,0.5833333333333334,0.0009564824466195699,60.0,2800.0
N11,0.0,0.46153846153846156,0.7692307692307693,0.0003807661085605742,65.0,1145.0
N12,0.0,0.6153846153846154,0.0,0.0008389309629343304,0.0,2130.0
N13,0.0,0.0,0.0,0.000106304135236483,0.0,495.0
N14,0.0,0.0,0.9259259259259259,0.00031124279317183527,270.0,750.0
N15,0.0,0.0,0.0,0.0002541559419438523,0.0,1185.0
N16,0.0,0.0,1.0,0.00031030022023039925,70.0,640.0
N2,0.0,0.8461538461538461,0.8148148148148148,0.00036285052811215786,403.65,1933.5333333333333
N3,0.0,0.0,0.9152542372881356,0.0003354777135694992,294.01666666666665,2337.1833333333334
N4,0.0,0.0,0.7586206896551724,9.791859912401504e-05,144.51666666666668,1006.6333333333333
N5,0.0,0.0,0.0,0.00032474418864801916,0.0,174.0
N6,0.0,0.0,0.6376811594202898,0.0006392780683539155,343.85,2252.4666666666667
N7,0.0,0.0,0.0,3.298517121536648e-05,0.0,1035.0
N8,0.0,0.0,0.0,0.00023925792501497726,0.0,767.4333333333334
N9,0.0,0.0,0.8787878787878788,0.0006858418747835353,165.0,1590.0
