mouse_id,deep_ref_points,gray_ref_points,thr_deep_Tb,thr_gray_Tb
N1,1581,6593,35.59700854167261,36.29733902778174
N10,760,2713,35.457104142101194,36.24140276140079
N11,1253,3211,35.94332967074942,36.667553113832945
N12,1374,3137,35.732606037836966,36.513987358557976
N13,1573,2922,36.24368824188561,36.839125494590405
N14,1659,3056,35.66936060222622,36.28624040148415
N15,2279,3855,35.953359927691764,36.597573285127844
N16,959,3434,35.781410125177636,36.51894008345176
N2,4025,6764,35.612885258995135,36.32692350599676
N3,3683,6987,35.57275612953906,36.27925408635937
N4,2982,6619,35.701604247575226,36.228386958700945
N5,1087,7710,35.742128321975486,36.43058554798366
N6,2865,6931,35.570951520459595,36.34813434697307
N7,1810,5263,36.332616948076,36.85603034633638
N8,1037,5054,35.38261645975874,35.92541097317249
N9,859,2052,35.79510611814487,36.50090407876325
