mouse_id,torpor_start,deep_onset,d1_used,deep_level_est,predip_found,peak_period_early_mean,peak_period_predeep_mean,delta_peak_period
N1,2023-09-05 23:10:39,2023-09-05 23:20:38,0.8471,-3.5755000000000017,0,53.12777777480144,49.10476190216798,-4.023015872633458
N10,2023-09-06 00:47:49,,0.3,,0,,,
N11,2023-09-06 03:58:23,2023-09-06 04:03:21,0.3,,1,40.86984126795842,49.839826837117734,8.969985569159313
N12,2023-09-06 01:17:54,2023-09-06 01:17:54,1.0792100000000002,-2.387999999999998,0,49.82539682262553,59.577777774216806,9.752380951591277
N13,,,1.0559999999999974,,0,,,
N14,2023-09-06 01:10:38,2023-09-06 01:10:38,1.179000000000002,-4.0695000000000014,1,54.72222221908133,50.08333333063083,-4.638888888450502
N15,2023-09-06 05:19:23,2023-09-06 05:19:23,0.8882099999999976,,0,51.19444444157292,56.438888885629304,5.244444444056384
N16,2023-09-06 07:20:41,2023-09-06 08:45:32,0.3,,0,57.083333330017496,59.9999999964,2.916666666382504
N2,2023-09-06 00:26:49,2023-09-06 00:31:49,0.9054199999999987,-2.9229999999999983,0,43.82910052683604,56.222222219,12.393121692163966
N3,2023-09-06 02:54:03,2023-09-06 02:54:03,1.112999999999994,-2.185499999999994,0,58.1111111077,58.7777777743,0.6666666666000012
N4,2023-09-06 01:18:59,,0.7492099999999947,,0,,,
N5,2023-09-05 22:27:52,2023-09-06 02:32:51,1.0176300000000016,-2.997,0,49.02777777521083,59.333333329800006,10.305555554589176
N6,2023-09-06 02:29:33,2023-09-06 02:34:33,0.9640500000000015,-3.155000000000001,0,47.39444444197703,59.16666666315,11.772222221172967
N7,2023-09-06 04:54:13,,0.9374199999999996,,0,,,
N8,2023-09-06 03:50:52,2023-09-06 03:50:52,1.119469999999996,,0,39.404761902972666,50.277777775055,10.873015872082334
N9,2023-09-05 22:15:40,2023-09-06 01:00:36,0.3,-3.64674725274725,0,54.388888885849994,52.694444441502505,-1.6944444443474893
